c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1cc(ccc1O)c1ccc(O)c(O)c1
O=PC(P(=O)(O)O)(O)CC(=C)N/C=C\C=C/C	OC(Cc1cnc2ccccn12)(P(=O)(O)O)P(=O)(O)O	OC(=O)Cc1c(Br)c(cccccccc)()O)(()O)O)O)OO
c1(=N)ccc(cn1C)C(=O)NCC/C=C\C(=C)S(=O)(=O)/C(=C/C)/C=C/F	Fc1cc(F)cc(c1)S(=O)(=O)c1ccc(CNC(=O)c2ccc3nccn3c2)cc1	Cc1ccc(cccccccccccccccccccccccccccccccccccccccccccccccccccc
c1(ccccc1)CCCCCCC(=O)N[C@@H](CC)CS/C(=C/C=C/Cc1ccccc1)/C=C	OC(=O)CC[C@@H](CSc1ccc(Cc2ccccc2)cc1)NC(=O)CCCCCCc1ccccc1	OC(=O)[C@H](Cc1ccc(cc1)C(=O)O)C(C)C(C)Cc1cccccccccccccccccccccc
c1cccc(c1)C1=CC/C(=C\C=C(\C(=N)N)/C)/N1	Cc1cc(Br)c([O-])c(c1)c1cc2cc(ccc2[nH]1)C(=[NH2+])N	Cc1cccccccccccccccccccccccccccccccccccc
OC1(Cc2ccccc2)C(=C(C(=O)N1C)Cc1ccc(cc1)Cl)c1c[nH]c2ccccc12	CN1C(=O)C(=C(c2c[nH]c3cc(Cl)ccc23)C1(O)Cc1ccc(Cl)cc1)Cc1ccc(Cl)cc1	OC(=O)[C@H](Cc1ccc2cc(ccc2cc1cccccccccccccccccccccccccccccccccccccc
C(=C\N(CC)c1c(cccc1)/N=C/NC(CNC(=O)NC(C)(C)C)CC)/C	CCN1c2ccc(F)cc2N=C(N[C@H]2CCN(C2)C(=O)NC(C)(C)C)c2cc(Cl)ccc12	CC(C)CC(CCCCCCCCCCCCCCcCccccccccccccccccccccccccccccccccccccccccc
C(=C)/C=C\C=C\SNC1CNC[C@@H](C(=O)NCC(c2ccccc2)/C(=C/C=C)/C)C1	Cc1ccc(cc1)S(=O)(=O)N[C@H]1CNC[C@H](C1)C(=O)NCC(c1ccccc1)c1ccccc1	O=C(NC[C@H]1CCCN1C(=O)c1ccc(cc1)ccccccccccccccccccccccccccccccc
O=c1c2ccccc2nc([nH]1)CCC(=O)NCCc1ccccc1	OC[C@H](Cc1ccccc1)NC(=O)CCc1nc2ccccc2c(=O)[nH]1	NC(=O)c1cccc(c1ccccccccccccccccccccccccccccccccccccc
CS/C=C/C=C\C=C\Nc1nc(N2CCNCC2)nc2c1ncnc2NC	CSc1ccccc1Nc1nc(nc2c(NCC3CC3)ncnc12)N1CCNCC1	CN1CCN(CC1)c1cccccccccccccccccccccccccccccccccccC1c111
C=C/C(=C/N1C(=NC=C(C1)NC1CCCNC1)C(=O)N)/N	NC(=O)c1ncc(N[C@H]2CCCNC2)c2nc(cn12)c1ccc(Cl)cc1	NC(=N)NC(=O)CCc1nc2ccccc2c2c(cnc12)CCCN1CCOCC1
